,City,Latitude,Longitude,Max Temp (F),Humidity,Cloudiness,Wind Speed,Country,Date
74,La Providencia,28.7167,-111.5833,88.25,53,51,6.13,MX,1627473600
75,Mudgee,-32.5943,149.5871,49.37,95,89,6.82,AU,1627473600
76,São Filipe,14.8961,-24.4956,75.16,79,31,10.74,CV,1627473600
77,Albany,42.6001,-73.9662,61.29,94,94,4.63,US,1627473600
78,Saldanha,-33.0117,17.9442,57.38,56,98,10.47,ZA,1627473600
79,Balakhninskiy,58.0106,114.2769,79.66,55,99,4.79,RU,1627473600
80,Taltal,-25.4,-70.4833,57.13,59,14,2.1,CL,1627473600
81,Noumea,-22.2763,166.4572,66.0,71,9,9.64,NC,1627473600
82,Dalaba,10.7,-12.25,65.16,97,100,2.08,GN,1627473600
83,Phetchabun,16.25,101.0833,85.28,79,99,4.36,TH,1627473600
84,Laas,46.6166,10.7002,71.58,70,62,5.68,IT,1627473600
85,Cabinda,-5.55,12.2,79.54,67,62,12.06,AO,1627473600
86,Dunedin,-45.8742,170.5036,48.79,70,100,7.31,NZ,1627473600
87,Fortuna,40.5982,-124.1573,59.45,88,87,2.77,US,1627473600
88,Carnarvon,-24.8667,113.6333,67.69,65,87,12.06,AU,1627473600
89,Praia,14.9215,-23.5087,77.79,68,68,9.84,CV,1627473600
90,Hambantota,6.1241,81.1185,90.64,60,59,21.9,LK,1627473600
91,Bathsheba,13.2167,-59.5167,81.18,77,73,15.48,BB,1627473600
92,Khor,47.8861,134.9464,92.32,44,76,5.79,RU,1627473600
93,Beringovskiy,63.05,179.3167,46.45,84,100,13.27,RU,1627473600
94,Carutapera,-1.195,-46.02,82.51,85,19,7.78,BR,1627473600
95,Port Elizabeth,-33.918,25.5701,62.31,64,41,8.03,ZA,1627473600
96,Tasiilaq,65.6145,-37.6368,43.43,68,23,4.12,GL,1627473600
97,Yellowknife,62.456,-114.3525,51.84,79,83,6.46,CA,1627473600
98,Barrow,71.2906,-156.7887,36.73,96,93,16.8,US,1627473600
99,Saint-François,46.4154,3.9054,70.54,65,74,6.98,FR,1627473600
100,Gallup,35.5281,-108.7426,64.13,72,82,6.29,US,1627473600
101,Comodoro Rivadavia,-45.8667,-67.5,45.37,56,17,8.48,AR,1627473600
102,Walvis Bay,-22.9575,14.5053,72.73,61,0,11.88,NA,1627473600
103,Pedernales,18.0384,-71.744,81.27,73,21,2.55,DO,1627473600
104,Nanortalik,60.1432,-45.2371,45.48,81,97,6.69,GL,1627473600
105,Mahon,39.8885,4.2658,81.75,52,0,14.41,ES,1627473600
106,Porto Torres,40.835,8.3972,88.99,51,0,8.39,IT,1627473600
107,Port Blair,11.6667,92.75,83.55,83,100,18.9,IN,1627473600
108,Butaritari,3.0707,172.7902,82.18,73,100,8.57,KI,1627473600
109,Airai,-8.9266,125.4092,63.34,74,74,2.66,TL,1627473600
110,Genhe,50.7833,121.5167,69.8,74,50,2.89,CN,1627473600
111,Conroe,30.3119,-95.456,74.8,90,19,2.28,US,1627473600
112,Sinnamary,5.3833,-52.95,80.01,84,46,7.9,GF,1627473600
113,La Flèche,47.6982,-0.0755,68.86,61,15,14.38,FR,1627473600
114,Northam,51.0333,-4.2167,61.93,87,39,21.0,GB,1627473600
115,Aquiraz,-3.9014,-38.3911,80.87,74,27,12.71,BR,1627473600
116,Novoanninskiy,50.5287,42.6747,87.91,29,20,5.55,RU,1627473600
117,Salinópolis,-0.6136,-47.3561,81.99,80,14,7.74,BR,1627473600
118,São Miguel do Tapuio,-5.5036,-41.3233,84.99,58,13,6.78,BR,1627473600
119,Hobart,-42.8794,147.3294,47.59,68,62,12.8,AU,1627473600
120,Berlevåg,70.8578,29.0864,48.56,86,93,8.84,NO,1627473600
121,Russell,32.3502,-85.1999,75.7,92,77,2.26,US,1627473600
122,Cape Town,-33.9258,18.4232,58.14,62,56,13.31,ZA,1627473600
123,Kondoa,-4.9,35.7833,81.52,28,11,4.76,TZ,1627473600
124,Los Llanos de Aridane,28.6585,-17.9182,69.21,79,55,11.83,ES,1627473600
125,Westport,41.1415,-73.3579,69.15,89,6,8.52,US,1627473600
126,Colina,-20.7133,-48.5408,61.23,87,31,7.63,BR,1627473600
127,Nome,64.5011,-165.4064,51.57,91,93,22.41,US,1627473600
128,Shar,49.5886,81.0453,76.35,24,0,12.33,KZ,1627473600
129,Yulara,-25.2406,130.9889,70.32,37,49,4.59,AU,1627473600
130,Watsa,3.0372,29.5355,73.38,86,41,2.57,CD,1627473600
131,Esperance,-33.8667,121.9,58.62,55,65,17.47,AU,1627473600
132,Klaksvík,62.2266,-6.589,53.87,91,100,9.13,FO,1627473600
133,Vanavara,60.34,102.2797,88.97,31,7,6.58,RU,1627473600
134,Sumbe,-11.2061,13.8437,76.64,70,6,9.6,AO,1627473600
135,Qaanaaq,77.484,-69.3632,43.83,95,100,6.15,GL,1627473600
136,Phek,25.6667,94.5,74.17,71,62,3.13,IN,1627473600
137,Voh,-20.9667,164.7,64.17,75,0,5.28,NC,1627473600
138,Palmer,42.1584,-72.3287,63.32,94,68,5.39,US,1627473600
139,Cayenne,4.9333,-52.3333,80.26,85,24,7.67,GF,1627473600
140,Grong,64.4654,12.3149,82.69,40,11,10.83,NO,1627473600
141,Alice Springs,-23.7,133.8833,70.54,33,69,5.77,AU,1627473600
142,Forest Grove,45.5198,-123.1107,62.51,64,33,2.84,US,1627473600
143,Gimli,50.6336,-96.9907,69.01,62,100,4.07,CA,1627473600
144,Kavieng,-2.5744,150.7967,82.72,75,64,8.68,PG,1627473600
145,Sakīt,27.45,78.8167,85.96,75,100,7.87,IN,1627473600
146,Jerome,42.7241,-114.5186,72.3,56,32,7.31,US,1627473600
147,Coyhaique,-45.5752,-72.0662,37.31,95,27,4.65,CL,1627473600
148,Natá,8.3333,-80.5167,76.6,90,86,3.02,PA,1627473600
149,Namtsy,62.7161,129.6658,70.59,33,3,7.72,RU,1627473600
150,Abu Samrah,35.3029,37.1841,100.53,19,0,20.38,SY,1627473600
151,Sungai Penuh,-2.0833,101.3833,69.31,91,100,0.87,ID,1627473600
152,Fuente de Oro,3.4594,-73.6128,70.75,91,78,1.92,CO,1627473600
153,Pisco,-13.7,-76.2167,60.8,85,5,3.13,PE,1627473600
154,Shizukuishi,39.6833,140.9833,74.53,98,88,1.19,JP,1627473600
155,Laguna,38.421,-121.4238,69.12,58,1,6.26,US,1627473600
156,Umm Kaddadah,13.6017,26.6876,83.79,61,100,8.37,SD,1627473600
157,Jacksonville,30.3322,-81.6556,79.88,89,79,5.77,US,1627473600
158,Hithadhoo,-0.6,73.0833,82.6,76,86,11.83,MV,1627473600
159,Mpongwe,-13.5091,28.155,77.72,25,96,4.52,ZM,1627473600
160,Avera,33.194,-82.5271,76.57,89,97,4.79,US,1627473600
161,Kaitangata,-46.2817,169.8464,47.97,82,94,4.47,NZ,1627473600
162,Del Rio,29.3627,-100.8968,78.03,62,34,7.11,US,1627473600
163,Norman Wells,65.282,-126.8329,53.96,84,80,3.0,CA,1627473600
164,Bubaque,11.2833,-15.8333,79.72,80,100,4.88,GW,1627473600
165,Kahului,20.8947,-156.47,76.78,86,55,10.85,US,1627473600
166,Poronaysk,49.2167,143.1167,64.9,94,96,3.6,RU,1627473600
167,Poum,-20.2333,164.0167,71.46,65,15,19.6,NC,1627473600
168,Lompoc,34.6391,-120.4579,59.77,91,80,5.97,US,1627473600
169,Waipawa,-41.4122,175.5153,42.51,87,6,3.24,NZ,1627473600
170,Talara,-4.5772,-81.2719,67.35,87,44,16.87,PE,1627473600
171,Hasaki,35.7333,140.8333,79.34,85,3,20.71,JP,1627473600
172,Port Alfred,-33.5906,26.891,63.59,68,87,9.86,ZA,1627473600
173,Guerrero Negro,27.9769,-114.0611,68.77,89,4,8.75,MX,1627473600
174,Road Town,18.4167,-64.6167,81.34,76,7,19.3,VG,1627473600
175,San Patricio,28.017,-97.5169,78.08,84,2,2.44,US,1627473600
176,South Venice,27.0531,-82.4243,82.38,89,58,5.88,US,1627473600
177,Santa Ana,33.7456,-117.8678,70.36,79,1,2.8,US,1627473600
178,Tooele,40.5308,-112.2983,71.64,50,50,6.8,US,1627473600
179,Camacha,33.0833,-16.3333,67.51,82,83,17.22,PT,1627473600
180,Mwinilunga,-11.7358,24.4293,79.83,23,86,4.52,ZM,1627473600
181,Codrington,-38.2667,141.9667,46.49,77,83,17.09,AU,1627473600
182,Hamilton,39.1834,-84.5333,71.13,88,50,1.28,US,1627473600
183,Tawang Town,27.5833,91.8667,63.68,89,95,2.08,IN,1627473600
184,Bilibino,68.0546,166.4372,41.49,73,97,6.62,RU,1627473600
185,Husavik,66.0449,-17.3389,49.78,98,100,11.12,IS,1627473600
186,Turaif,31.6725,38.6637,96.93,22,0,10.78,SA,1627473600
187,Urucará,-2.5364,-57.76,80.19,67,3,3.42,BR,1627473600
188,Hualmay,-11.0964,-77.6139,62.31,88,48,7.56,PE,1627473600
189,Opuwo,-18.0607,13.84,76.39,19,0,6.11,NA,1627473600
190,Sambava,-14.2667,50.1667,77.38,58,5,15.3,MG,1627473600
191,Tuktoyaktuk,69.4541,-133.0374,44.67,88,99,7.72,CA,1627473600
192,Mlonggo,-6.5333,110.7,88.45,58,54,9.55,ID,1627473600
193,Constitución,-35.3333,-72.4167,42.3,71,0,5.53,CL,1627473600
194,Saint-Philippe,-21.3585,55.7679,67.39,94,100,19.04,RE,1627473600
195,Mossamedes,-15.1961,12.1522,74.26,58,11,10.92,AO,1627473600
196,Vila Velha,-20.3297,-40.2925,76.01,77,1,11.01,BR,1627473600
197,Ixtapa,20.7,-105.2,77.36,93,100,2.75,MX,1627473600
198,Mongoumba,3.6415,18.5936,76.75,78,98,1.25,CF,1627473600
199,Haines Junction,60.7522,-137.5108,48.43,83,91,2.98,CA,1627473600
200,Singaraja,-8.112,115.0882,81.37,71,27,5.48,ID,1627473600
201,Shimanovsk,52.0,127.7,72.64,87,51,5.17,RU,1627473600
202,Edson,53.5835,-116.4356,53.58,98,28,1.28,CA,1627473600
203,Ogaminana,7.5946,6.2248,83.28,71,80,6.62,NG,1627473600
204,Tessaoua,13.7574,7.9874,83.17,64,100,12.82,NE,1627473600
205,Orlik,52.5178,99.825,64.76,79,90,2.98,RU,1627473600
206,Dingle,10.9995,122.6711,81.55,81,59,10.78,PH,1627473600
207,Krasnosel'kup,65.7,82.4667,56.95,70,99,10.27,RU,1627473600
208,Iqaluit,63.7506,-68.5145,46.02,69,32,2.24,CA,1627473600
209,Koungou,-12.7336,45.2042,80.33,62,1,14.16,YT,1627473600
210,Shanghai,31.2222,121.4581,83.73,82,58,13.85,CN,1627473600
211,Kenai,60.5544,-151.2583,54.93,78,34,4.85,US,1627473600
212,Hammerfest,70.6634,23.6821,51.08,92,80,8.5,NO,1627473600
213,Grand Gaube,-20.0064,57.6608,71.6,85,96,29.73,MU,1627473600
214,Suleja,9.1758,7.1808,77.47,78,98,5.53,NG,1627473600
215,Beloha,-25.1667,45.05,72.95,55,62,16.08,MG,1627473600
216,Bredasdorp,-34.5322,20.0403,58.08,57,60,14.16,ZA,1627473600
217,Fortuna Foothills,32.6578,-114.4119,88.92,43,30,5.03,US,1627473600
218,Ilulissat,69.2167,-51.1,49.57,62,100,5.77,GL,1627473600
219,Ribeira Grande,38.5167,-28.7,74.62,74,26,8.79,PT,1627473600
220,Clyde River,70.4692,-68.5914,44.31,85,91,0.49,CA,1627473600
221,Baykit,61.67,96.37,70.83,62,100,5.77,RU,1627473600
222,Soe,-9.8607,124.284,70.72,59,2,4.72,ID,1627473600
223,Port Macquarie,-31.4333,152.9167,62.2,60,24,7.11,AU,1627473600
224,Port Saint John,28.477,-80.7887,78.42,89,26,4.25,US,1627473600
225,Salalah,17.0151,54.0924,81.59,80,82,14.61,OM,1627473600
226,Upernavik,72.7868,-56.1549,45.12,85,100,11.34,GL,1627473600
227,Hong Kong,22.2855,114.1577,86.94,78,35,13.85,HK,1627473600
228,Cherskiy,68.75,161.3,36.41,81,78,12.8,RU,1627473600
229,Tara,56.8944,74.371,61.84,86,99,6.89,RU,1627473600
230,Bengkulu,-3.8004,102.2655,82.63,68,98,8.37,ID,1627473600
231,Santa Rosalía,27.3167,-112.2833,84.56,49,0,2.77,MX,1627473600
232,Senneterre,48.3835,-77.2328,55.36,78,6,0.67,CA,1627473600
233,Verkhoyansk,67.5447,133.385,59.94,43,8,12.84,RU,1627473600
234,Hobyo,5.3505,48.5268,81.97,64,97,28.1,SO,1627473600
235,Lavrentiya,65.5833,-171.0,44.2,99,100,11.72,RU,1627473600
236,Mambog,15.3137,120.0304,81.73,90,100,7.76,PH,1627473600
237,Hudson Bay,52.85,-102.3842,57.47,85,63,4.63,CA,1627473600
238,Vertientes,21.2594,-78.1464,77.45,95,50,6.64,CU,1627473600
239,Namatanai,-3.6667,152.4333,80.22,80,89,5.46,PG,1627473600
240,Dakar,14.6937,-17.4441,80.94,71,51,9.17,SN,1627473600
241,Olsztyn,53.7799,20.4942,84.29,44,61,9.24,PL,1627473600
242,Shergarh,28.65,79.35,90.21,64,100,4.76,IN,1627473600
243,Katsuura,35.1333,140.3,81.72,87,3,20.07,JP,1627473600
244,Haapiti,-17.5667,-149.8667,77.5,70,9,6.64,PF,1627473600
245,Mafeteng,-29.823,27.2374,57.29,24,3,6.87,LS,1627473600
246,Portmore,17.9702,-76.8672,80.06,77,39,2.53,JM,1627473600
247,Sioux Lookout,50.1001,-91.917,62.33,89,76,3.62,CA,1627473600
248,Salym,60.0625,71.4789,62.29,47,73,6.38,RU,1627473600
249,Wanning,18.8003,110.3967,86.7,78,99,6.15,CN,1627473600
250,Bethanien,-26.502,17.1583,73.45,19,0,18.41,NA,1627473600
251,Okha,53.5739,142.9478,66.74,92,100,4.32,RU,1627473600
252,Dikson,73.5069,80.5464,37.36,97,100,14.65,RU,1627473600
253,Aksu,41.1231,80.2644,100.42,13,66,2.84,CN,1627473600
254,Lata,40.1629,-8.3327,87.04,41,0,7.0,PT,1627473600
255,George,-33.963,22.4617,55.09,66,83,7.99,ZA,1627473600
256,Garden City,42.3256,-83.331,69.35,89,63,4.72,US,1627473600
257,Santa Isabel Rio Negro,-0.4139,-65.0192,73.74,98,99,1.43,BR,1627473600
258,Bria,6.5423,21.9863,78.96,86,93,4.41,CF,1627473600
259,Quang Ngai,15.1167,108.8,90.43,60,97,3.04,VN,1627473600
260,Necochea,-38.5473,-58.7368,42.01,63,100,23.6,AR,1627473600
261,Khovd,48.0056,91.6419,81.95,14,7,22.19,MN,1627473600
262,San Andrés,12.5847,-81.7006,82.35,82,59,17.27,CO,1627473600
263,Saint Paul Harbor,57.79,-152.4072,54.88,75,82,2.59,US,1627473600
264,Vikulovo,56.8167,70.6107,65.71,53,96,12.21,RU,1627473600
265,Te Anau,-45.4167,167.7167,42.67,93,63,1.92,NZ,1627473600
266,Le Port,-20.9373,55.2919,67.15,90,100,4.56,RE,1627473600
267,Mareeba,-17.0,145.4333,63.5,92,20,2.62,AU,1627473600
268,Miyako,39.6367,141.9525,73.38,97,99,5.99,JP,1627473600
269,Kysyl-Syr,63.8986,122.7617,73.47,47,0,6.49,RU,1627473600
270,Inza,53.8533,46.3586,78.93,41,6,8.37,RU,1627473600
271,Evensk,61.95,159.2333,52.66,58,58,9.13,RU,1627473600
272,Pevek,69.7008,170.3133,34.72,94,100,19.08,RU,1627473600
273,Atambua,-9.1061,124.8925,76.95,67,14,2.08,ID,1627473600
274,Chokurdakh,70.6333,147.9167,40.24,68,16,10.94,RU,1627473600
275,Markova,48.6758,24.4138,87.55,37,15,9.84,UA,1627473600
276,Maningrida,-12.0667,134.2667,76.82,80,27,9.35,AU,1627473600
277,Santiago del Estero,-27.7951,-64.2615,45.19,37,62,5.61,AR,1627473600
278,Arrondissement de Riom,45.9167,2.9167,67.42,58,52,7.23,FR,1627473600
279,Sur,22.5667,59.5289,100.53,41,81,2.86,OM,1627473600
280,Soyo,-6.1349,12.3689,79.18,69,64,11.1,AO,1627473600
281,Kavaratti,10.5669,72.642,82.2,80,100,16.6,IN,1627473600
282,Algiers,36.7525,3.042,80.65,72,14,11.23,DZ,1627473600
283,Isangel,-19.55,169.2667,70.3,66,5,12.71,VU,1627473600
284,Agde,43.3108,3.4758,77.95,76,59,4.36,FR,1627473600
285,Frankfort,-27.2667,28.4833,59.72,25,0,7.02,ZA,1627473600
286,Adrar,20.5022,-10.0711,102.29,22,28,9.95,MR,1627473600
287,Derzhavīnsk,51.1,66.3167,79.59,25,41,10.33,KZ,1627473600
288,Tegul'det,57.3064,88.1667,67.28,47,63,1.1,RU,1627473600
289,Taksimo,56.3444,114.8794,70.41,70,100,2.53,RU,1627473600
290,Half Moon Bay,37.4636,-122.4286,58.59,87,14,1.12,US,1627473600
291,Eyl,7.9803,49.8164,89.56,43,96,29.44,SO,1627473600
292,Chilca,-12.5211,-76.7372,61.97,87,85,3.94,PE,1627473600
293,San Joaquin,37.9333,-121.3011,69.69,55,1,6.87,US,1627473600
294,Sault Ste. Marie,46.5168,-84.3333,60.98,83,1,2.21,CA,1627473600
295,Khātra,22.9833,86.85,87.13,72,100,11.74,IN,1627473600
296,Illapel,-31.6308,-71.1653,51.15,24,0,4.45,CL,1627473600
297,Vrangel',42.7297,133.0839,75.52,83,87,5.53,RU,1627473600
298,Maniitsoq,65.4167,-52.9,47.14,79,87,11.36,GL,1627473600
299,Mpika,-11.8343,31.4529,70.63,35,47,8.08,ZM,1627473600
300,Nabire,-3.3667,135.4833,80.44,85,99,1.16,ID,1627473600
301,Mehamn,71.0357,27.8492,48.87,86,83,9.78,NO,1627473600
302,Kingston,17.997,-76.7936,78.44,86,41,1.7,JM,1627473600
303,Ancud,-41.8697,-73.8203,41.95,93,8,6.06,CL,1627473600
304,Menongue,-14.6585,17.691,81.12,16,49,4.94,AO,1627473600
305,Coquimbo,-29.9533,-71.3436,50.77,79,0,2.44,CL,1627473600
306,Antalaha,-14.9003,50.2788,76.05,59,51,12.06,MG,1627473600
307,Havøysund,70.9963,24.6622,48.24,84,100,7.07,NO,1627473600
308,Nishihara,26.1842,127.7558,82.26,84,81,8.01,JP,1627473600
309,Faanui,-16.4833,-151.75,77.83,73,84,2.59,PF,1627473600
310,Boa Vista,2.8197,-60.6733,75.36,92,89,1.41,BR,1627473600
311,Moose Factory,51.2585,-80.6094,58.73,63,10,6.53,CA,1627473600
312,Sadovoye,47.7764,44.5089,90.99,22,7,5.95,RU,1627473600
313,Zhangjiakou,40.81,114.8794,76.39,72,100,8.32,CN,1627473600
314,Bobo-Dioulasso,11.1771,-4.2979,79.88,78,47,11.92,BF,1627473600
315,Muros,42.7762,-9.0603,70.27,61,14,14.05,ES,1627473600
316,Gryazi,52.4966,39.9359,85.87,33,100,7.38,RU,1627473600
317,Tahoua,14.8888,5.2692,88.27,62,55,9.69,NE,1627473600
318,Atar,20.5169,-13.0499,100.98,25,30,2.21,MR,1627473600
319,Río Gallegos,-51.6226,-69.2181,46.76,79,83,19.75,AR,1627473600
320,Musoma,-1.5,33.8,78.03,48,34,12.95,TZ,1627473600
321,Port-Cartier,50.0334,-66.8654,57.16,65,100,10.02,CA,1627473600
322,Almaznyy,48.0448,40.045,88.54,28,7,5.06,RU,1627473600
323,Hervey Bay,-25.2986,152.8535,67.53,71,5,13.58,AU,1627473600
324,Karratha,-20.7377,116.8463,74.71,58,11,15.05,AU,1627473600
325,Kimbe,-5.5502,150.1429,77.25,91,97,4.21,PG,1627473600
326,Tiznit Province,29.5833,-9.5,92.07,36,5,6.31,MA,1627473600
327,Jinan,36.6683,116.9972,73.45,91,100,11.77,CN,1627473600
328,Bone,51.9669,12.1396,75.0,55,90,12.82,DE,1627473600
329,Murgab,37.4966,61.9714,102.06,11,0,21.59,TM,1627473600
330,Auki,-8.7676,160.7034,77.05,87,99,4.47,SB,1627473600
331,Manyana,-23.4,21.7167,68.27,27,0,7.07,BW,1627473600
332,La Ronge,55.1001,-105.2842,54.61,87,2,5.48,CA,1627473600
333,Louny,50.357,13.7967,71.51,71,90,7.36,CZ,1627473600
334,Vanimo,-2.6741,141.3028,79.66,85,30,3.94,PG,1627473600
335,Kakching,24.4833,93.9833,77.65,86,73,3.98,IN,1627473600
336,Tacoronte,28.4769,-16.4102,66.34,69,78,11.95,ES,1627473600
337,Talnakh,69.4865,88.3972,59.41,75,100,7.2,RU,1627473600
338,Arlit,18.7369,7.3853,94.71,38,8,5.88,NE,1627473600
339,Golden,39.7555,-105.2211,70.59,48,1,6.46,US,1627473600
340,Tikhvin,59.6451,33.5294,84.15,35,100,8.59,RU,1627473600
341,Udachny,66.4167,112.4,82.08,47,59,14.32,RU,1627473600
342,Bharatpur,27.2167,77.4833,85.12,76,100,7.16,IN,1627473600
343,Tilichiki,60.4667,166.1,52.48,70,79,7.74,RU,1627473600
344,Deputatsky,69.3,139.9,45.57,58,56,4.74,RU,1627473600
345,Tairua,-37.0167,175.85,52.45,91,84,4.41,NZ,1627473600
346,Port Hardy,50.6996,-127.4199,55.51,86,61,2.33,CA,1627473600
347,Mtimbira,-8.7833,36.35,87.4,25,2,3.67,TZ,1627473600
348,Nhulunbuy,-12.2333,136.7667,76.42,81,38,9.84,AU,1627473600
349,Pangnirtung,66.1451,-65.7125,47.93,83,100,1.48,CA,1627473600
350,Agadir,30.4202,-9.5982,80.37,67,11,7.65,MA,1627473600
351,Maragogi,-9.0122,-35.2225,78.49,81,12,8.79,BR,1627473600
352,Matinhos,-25.8175,-48.5428,50.94,76,19,6.58,BR,1627473600
353,Palm Beach,26.6503,-80.4498,77.32,91,15,3.04,US,1627473600
354,Verkhnevilyuysk,63.4453,120.3167,74.71,44,1,4.47,RU,1627473600
355,Semnan,35.5729,53.3971,95.56,20,7,4.65,IR,1627473600
356,Bariloche,-41.1456,-71.3082,34.74,57,0,1.61,AR,1627473600
357,Celestún,20.8667,-90.4,77.22,84,53,8.21,MX,1627473600
358,Chui,-33.6971,-53.4616,43.57,75,89,14.38,UY,1627473600
359,Haicheng,40.8516,122.7475,89.69,51,93,0.43,CN,1627473600
